Yes/No siphon,Classification,Latitude,Longitude,Photo
0,Aedes,35.1857,-80.8369,https://data.globe.gov/system/photos/2021/06/17/2286773/original.jpg
0,Aedes,35.1857,-80.8369,https://data.globe.gov/system/photos/2021/06/17/2286771/original.jpg
0,Aedes,21.03008,105.8286,https://data.globe.gov/system/photos/2018/05/10/729615/original.jpg
0,Aedes,21.03008,105.8286,https://data.globe.gov/system/photos/2018/05/10/729614/original.jpg
0,Aedes,21.03008,105.8286,https://data.globe.gov/system/photos/2018/05/10/729612/original.jpg
0,Aedes,21.03008,105.8286,https://data.globe.gov/system/photos/2018/05/10/729596/original.jpg
0,Aedes,21.03008,105.8286,https://data.globe.gov/system/photos/2018/05/10/729590/original.jpg
0,Aedes,14.3147,101.2994,https://data.globe.gov/system/photos/2019/09/15/1203652/original.jpg
0,Aedes,14.3147,101.2994,https://data.globe.gov/system/photos/2019/09/15/1203653/original.jpg
0,Aedes,14.3147,101.2994,https://data.globe.gov/system/photos/2019/09/15/1203654/original.jpg
0,Aedes,14.3147,101.2994,https://data.globe.gov/system/photos/2019/09/15/1203655/original.jpg
0,Culex,17.391,102.7701,https://data.globe.gov/system/photos/2019/05/15/1070919/original.jpg
0,Aedes,19.9271,99.8622,https://data.globe.gov/system/photos/2019/06/28/1118252/original.jpg
0,Aedes,18.797,98.975,https://data.globe.gov/system/photos/2019/09/02/1188265/original.jpg
0,Aedes,18.797,98.975,https://data.globe.gov/system/photos/2019/09/02/1188268/original.jpg
0,Aedes,14.3494,100.5708,https://data.globe.gov/system/photos/2019/04/26/1051324/original.jpg
0,Aedes,14.3494,100.5708,https://data.globe.gov/system/photos/2019/04/26/1051326/original.jpg
0,Aedes,17.8063,102.7462,https://data.globe.gov/system/photos/2019/04/05/1021337/original.jpg
0,Aedes,17.8063,102.7462,https://data.globe.gov/system/photos/2019/04/05/1021336/original.jpg
0,Aedes,17.8063,102.7462,https://data.globe.gov/system/photos/2019/04/05/1021335/original.jpg
0,Aedes,15.2429,104.8903,https://data.globe.gov/system/photos/2019/05/31/1085817/original.jpg
0,Aedes,15.2429,104.8903,https://data.globe.gov/system/photos/2019/05/31/1085818/original.jpg
0,Culex,13.4145,99.9836,https://data.globe.gov/system/photos/2019/02/10/963237/original.jpg
0,Aedes,18.7657,99.0202,https://data.globe.gov/system/photos/2019/01/30/955457/original.jpg
0,Aedes,13.4993,99.9212,https://data.globe.gov/system/photos/2018/12/14/928233/original.jpg
0,Aedes,13.4993,99.9212,https://data.globe.gov/system/photos/2018/12/14/928221/original.jpg
0,Aedes,13.8176,100.318,https://data.globe.gov/system/photos/2019/01/17/947066/original.jpg
0,Aedes,18.797,99.0135,https://data.globe.gov/system/photos/2019/01/29/954365/original.jpg
0,Culex,21.09242,105.82798,https://data.globe.gov/system/photos/2018/05/10/729589/original.jpg
0,Aedes,17.8063,102.7462,https://data.globe.gov/system/photos/2019/04/05/1021276/original.jpg
0,Culex,13.696,100.7184,https://data.globe.gov/system/photos/2019/05/28/1083204/original.jpg
0,Culex,13.696,100.7184,https://data.globe.gov/system/photos/2019/05/28/1083205/original.jpg
0,Culex,13.696,100.7184,https://data.globe.gov/system/photos/2019/05/28/1083203/original.jpg
0,Aedes,17.0938,80.0183,https://data.globe.gov/system/photos/2019/03/14/995020/original.jpg
0,Aedes,17.0938,80.0183,https://data.globe.gov/system/photos/2019/03/14/995019/original.jpg
0,Aedes,17.0937,80.0187,https://data.globe.gov/system/photos/2019/02/14/966158/original.jpg
0,Aedes,17.0937,80.0187,https://data.globe.gov/system/photos/2019/02/14/966159/original.jpg
0,Aedes,17.2471,80.1658,https://data.globe.gov/system/photos/2019/02/14/965989/original.jpg
0,Aedes,17.2471,80.1658,https://data.globe.gov/system/photos/2019/02/14/965986/original.jpg
0,Aedes,17.2471,80.1658,https://data.globe.gov/system/photos/2019/02/14/965987/original.jpg
0,Aedes,21.02918,105.82763,https://data.globe.gov/system/photos/2018/05/10/729642/original.jpg
0,Aedes,16.4302,103.5128,https://data.globe.gov/system/photos/2021/03/16/2164826/original.jpg
0,Aedes,16.45488,103.69794,https://data.globe.gov/system/photos/2017/12/03/596966/original.jpg
0,Culex,15.3237,103.68,https://data.globe.gov/system/photos/2019/02/22/972080/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/26/2754847/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/26/2754848/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750383/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750419/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750417/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750410/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750379/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/26/2750380/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560194/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560195/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560180/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560181/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560179/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/22/2560178/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/22/2750365/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/22/2750366/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/05/2750502/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/05/2750501/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/05/2750490/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/05/2750498/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/05/2750499/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/01/2750422/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/01/2750481/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/01/2750487/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/03/01/2836132/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/22/2754842/original.jpg
0,Aedes,7.4004,99.4266,https://data.globe.gov/system/photos/2022/02/21/2705677/original.jpg
0,Aedes,7.4004,99.4266,https://data.globe.gov/system/photos/2022/02/21/2705671/original.jpg
0,Aedes,7.4004,99.4266,https://data.globe.gov/system/photos/2022/02/21/2705679/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2750351/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2754831/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2750354/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2749224/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2754835/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2754837/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/19/2754838/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754820/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754819/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754823/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754823/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2749221/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754825/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2754826/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2749218/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2749215/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/15/2749214/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/11/2754805/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527163/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527159/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/11/2754811/original.jpg
0,Aedes,7.553,99.55842,https://data.globe.gov/system/photos/2022/02/11/2754810/original.jpg
0,Aedes,7.555,99.5579,https://data.globe.gov/system/photos/2021/08/23/2389328/original.jpg
0,Aedes,7.555,99.5579,https://data.globe.gov/system/photos/2021/08/23/2389326/original.jpg
0,Aedes,7.555,99.5579,https://data.globe.gov/system/photos/2021/08/23/2389325/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/23/2390843/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/23/2390844/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/23/2390839/original.jpg
0,Aedes,7.5542,99.5585,https://data.globe.gov/system/photos/2021/08/23/2389336/original.jpg
0,Aedes,7.5542,99.5585,https://data.globe.gov/system/photos/2021/08/23/2389332/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/11/2754816/original.jpg
0,Aedes,7.553,99.5584,https://data.globe.gov/system/photos/2022/02/11/2754817/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/22/2390838/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/22/2390837/original.jpg
0,Aedes,7.5268,99.7301,https://data.globe.gov/system/photos/2021/08/22/2390834/original.jpg
0,Aedes,7.3145,99.673,https://data.globe.gov/system/photos/2021/11/27/2527751/original.jpg
0,Aedes,7.3145,99.673,https://data.globe.gov/system/photos/2021/11/27/2527758/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527180/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527183/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527179/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527172/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527173/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527167/original.jpg
0,Aedes,7.5954,99.6032,https://data.globe.gov/system/photos/2021/11/27/2527170/original.jpg
1,Anopheles,7.3145,99.6731,https://data.globe.gov/system/photos/2021/12/13/2549647/original.jpg
0,Aedes,7.3146,99.673,https://data.globe.gov/system/photos/2021/12/11/2547589/original.jpg
0,Aedes,7.3146,99.673,https://data.globe.gov/system/photos/2021/12/11/2547590/original.jpg
1,Anopheles,7.3146,99.673,https://data.globe.gov/system/photos/2021/12/11/2547586/original.jpg
0,Aedes,7.3146,99.673,https://data.globe.gov/system/photos/2021/12/11/2547588/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/23/2522377/original.jpg
1,Anopheles,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/23/2522378/original.jpg
1,Anopheles,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/23/2522376/original.jpg
1,Anopheles,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/22/2520651/original.jpg
0,Aedes,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/22/2520653/original.jpg
1,Anopheles,7.3145,99.6731,https://data.globe.gov/system/photos/2021/11/22/2520654/original.jpg
